Symbol,Instrument_name,pe_ratio,book_value,dividend_yield
PFC,Power Finance Corporation Limited,6.71602,282.698,0.0299
DIXON,Dixon Technologies (India) Limited,113.64617,257.333,0.0005
RECLTD,REC Limited,7.7512956,241.463,0.0377
ZEEL,Zee Entertainment Enterprises Limited,216.7073,112.325,0.011
BDL,Bharat Dynamics Limited,52.639725,184.159,0.0076
JSWENERGY,JSW Energy Limited,43.863636,121.11,0.0047
PNB,Punjab National Bank,15.027933,96.617,0.0081
LODHA,Macrotech Developers Limited,40.48437,134.454,0.0011
PRESTIGE,Prestige Estates Projects Limited,24.270348,275.134,0.0014
COLPAL,Colgate-Palmolive (India) Limited,52.90738,64.814,0.019299999
NHPC,NHPC Limited,13.857493,38.917,0.0328
APOLLOTYRE,Apollo Tyres Limited,17.357788,204.487,0.009
HAL,Hindustan Aeronautics Limited,27.249336,376.095,0.0112
GAIL,GAIL (India) Limited,16.900621,110.896,0.0588
POLICYBZR,PB Fintech Limited,0,125.5,0
BANKINDIA,Bank of India Limited,8.187357,152.098,0.0186
ITC,ITC Limited,27.78258,55.442,0.03
BHARATFORG,Bharat Forge Limited,80.64854,150.601,0.0061000003
VEDL,Vedanta Limited,17.185928,85.024,0.2882
NTPC,NTPC Limited,12.59719,158.518,0.0167
FACT,The Fertilisers and Chemicals Travancore Limited,92.55386,21.861,0.0014
AXISBANK,Axis Bank Limited,26.108484,462.233,0.00090000004
TATAPOWER,The Tata Power Company Limited,24.753365,98.076,0.0072000003
SIEMENS,Siemens Limited,68.027916,367.667,0.0027
JINDALSTEL,Jindal Steel & Power Limited,7.463073,412.975,0.0029
LT,Larsen & Toubro Limited,36.364826,558.167,0.0075
BRITANNIA,Britannia Industries Limited,47.16977,118.313,0.025899999
BANKBARODA,Bank of Baroda Limited,5.6683517,220.265,0.0272
MAXHEALTH,Max Healthcare Institute Limited,64.08153,80.82,0.0015
BERGEPAINT,Berger Paints India Limited,66.231636,41.506,0.0045
TVSMOTOR,TVS Motor Company Limited,62.10732,133.006,0.0046
DALBHARAT,Dalmia Bharat Limited,40.983353,853.782,0.004
ADANIPOWER,Adani Power Limited,8.741564,78.298,0
CANBK,Canara Bank,5.353601,471.375,0.0292
GODREJCP,Godrej Consumer Products Limited,59.89486,141.725,0.0195
BAJFINANCE,Bajaj Finance Limited,33.556835,989.308,0.0041
ESCORTS,Escorts Kubota Limited,38.16623,796.603,0.0022
INDUSTOWER,Indus Towers Limited,15.169765,87.951,0
DELHIVERY,Delhivery Limited,0,123.915,0
BOSCHLTD,Bosch Limited,30.58113,3927.688,0.0217
ASIANPAINT,Asian Paints Limited,60.239178,172.706,0.0083
TATASTEEL,Tata Steel Limited,0,72.985,0.0277
L&TFH,L&T Finance Holdings Limited,0,0,0.013200001
LALPATHLAB,Dr. Lal PathLabs Limited,75.75394,213.377,0.0066000004
SRF,SRF Limited,41.32408,366.201,0.003
OIL,Oil India Limited,5.7208786,369.324,0.061300002
TATAELXSI,Tata Elxsi Limited,66.66601,336.645,0.0072000003
IDEA,Vodafone Idea Limited,0,-18.63,0
IPCALAB,Ipca Laboratories Limited,59.171383,242.456,0.0017
LUPIN,Lupin Limited,44.451492,290.908,0.0031
IGL,Indraprastha Gas Limited,15.288536,128.736,0.0355
GLAND,Gland Pharma Limited,42.73382,504.184,0
CROMPTON,Crompton Greaves Consumer Electricals Limited,43.857788,42.685,0.010299999
ASTRAL,Astral Limited,98.04014,107.948,0.0019
CGPOWER,CG Power and Industrial Solutions Limited,75.23927,14.533,0.0033000002
ICICIBANK,ICICI Bank Limited,16.80632,331.35,0.0085
ACC,ACC Limited,43.855293,789.38,0.0049
PIIND,PI Industries Limited,38.76155,526.098,0.0029
TRENT,Trent Limited,158.71678,81.929,0.0008
SBIN,State Bank of India,7.4797225,441.646,0.0198
MOTHERSON,Samvardhana Motherson International Limited,33.014183,33.543,0.0069999998
PAGEIND,Page Industries Limited,82.64406,1371.639,0.007900001
IDFCFIRSTB,IDFC First Bank Limited,19.435667,41.635,0
CONCOR,Container Corporation of India Limited,40.326145,190.407,0.0178
SHREECEM,Shree Cement Limited,53.475567,5402.986,0.0037
COALINDIA,Coal India Limited,7.6153336,113.038,0.113900006
UBL,United Breweries Limited,175.44597,151.908,0.0045
NYKAA,FSN E-Commerce Ventures Limited,2523.5713,4.76,0
INDIGO,InterGlobe Aviation Limited,18.831984,-75.946,0
TORNTPHARM,Torrent Pharmaceuticals Limited,54.351944,197.909,0.010199999
BEL,Bharat Electronics Limited,32.335526,20.272,0.012200001
ABCAPITAL,Aditya Birla Capital Limited,7.969043,95.192,0
IRFC,Indian Railway Finance Corporation Limited,16.215054,36.92,0.0212
INDHOTEL,The Indian Hotels Company Limited,54.948452,58.319,0.0023
MPHASIS,Mphasis Limited,28.088932,419.467,0.0211
DMART,Avenue Supermarts Limited,111.09749,267.774,0
JSWSTEEL,JSW Steel Limited,21.23069,304.943,0.0042
SONACOMS,Sona BLW Precision Forgings Limited,70.88903,41.638,0.005
BIOCON,Biocon Limited,57.848557,158.69,0.0062
APOLLOHOSP,Apollo Hospitals Enterprise Limited,114.94963,452.724,0.0027
FEDERALBNK,The Federal Bank Limited,8.8489,117.281,0.0067000003
SAIL,Steel Authority of India Limited,11.942307,135.588,0.0107
VOLTAS,Voltas Limited,138.78737,172.929,0.0050999997
RAMCOCEM,The Ramco Cements Limited,64.92576,307.6,0.002
NAVINFLUOR,Navin Fluorine International Limited,50.760746,457.137,0.0032
UPL,UPL Limited,24.995655,347.765,0.0174
LTTS,L&T Technology Services Limited,41.665073,453.087,0.0070999996
JUBLFOOD,Jubilant FoodWorks Limited,158.82024,31.566,0.0021
DABUR,Dabur India Limited,54.66162,53.604,0.010199999
TCS,Tata Consultancy Services Limited,28.734554,275.156,0.010299999
UNIONBANK,Union Bank of India,6.296296,130.002,0.0276
OBEROIRLTY,Oberoi Realty Limited,26.248379,353.133,0.0042
INDIANB,Indian Bank,7.2462063,428.699,0.0214
RELIANCE,Reliance Industries Limited,23.584517,1110.378,0.0038
DEEPAKNTR,Deepak Nitrite Limited,37.88195,318.424,0.0034
HAVELLS,Havells India Limited,69.922745,109.965,0.0057
COROMANDEL,Coromandel International Limited,17.007416,307.905,0.010299999
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,30.766294,192.025,0.0018000001
